Timestamp,Class,Confidence,BBox
2025-12-09 17:19:09.112642,wheel_handle_valve,0.49,"[266.11944580078125, 236.7362823486328, 637.395263671875, 553.6094970703125]"
2025-12-09 17:19:57.078219,wheel_handle_valve,0.42,"[607.2373046875, 427.52984619140625, 731.2774658203125, 532.1607666015625]"
2025-12-09 17:20:39.602067,lever_handle_valve,0.36,"[802.2147216796875, 310.3892822265625, 935.2919921875, 531.0155029296875]"
2025-12-09 17:21:36.988363,wheel_handle_valve,0.39,"[662.2847900390625, 400.48583984375, 788.5318603515625, 510.25396728515625]"
2025-12-09 17:21:37.421529,wheel_handle_valve,0.59,"[652.5953369140625, 413.131591796875, 787.1785278320312, 523.2601928710938]"
2025-12-09 17:21:37.878139,wheel_handle_valve,0.42,"[665.4623413085938, 431.4376525878906, 788.5516357421875, 533.9871215820312]"
2025-12-09 17:23:46.852654,wheel_handle_valve,0.37,"[733.0846557617188, 415.4307556152344, 869.5589599609375, 529.1207275390625]"
2025-12-09 17:23:48.618279,wheel_handle_valve,0.56,"[709.9783935546875, 389.03826904296875, 859.2102661132812, 512.0204467773438]"
2025-12-09 17:25:03.378246,wheel_handle_valve,0.36,"[262.16424560546875, 224.51284790039062, 425.91064453125, 377.8823547363281]"
2025-12-09 17:26:43.949553,wheel_handle_valve,0.34,"[0.07573318481445312, 171.602294921875, 31.988262176513672, 343.46722412109375]"
2025-12-09 17:26:44.366918,wheel_handle_valve,0.36,"[0.10753174126148224, 166.72195434570312, 37.28240966796875, 348.6288757324219]"
2025-12-09 17:26:50.601646,wheel_handle_valve,0.43,"[0.09194793552160263, 135.75318908691406, 41.000816345214844, 376.6666564941406]"
2025-12-09 17:26:55.527300,wheel_handle_valve,0.44,"[0.19539642333984375, 168.15542602539062, 34.703739166259766, 346.55096435546875]"
2025-12-09 17:27:05.030460,wheel_handle_valve,0.76,"[380.56109619140625, 214.1426544189453, 525.0692749023438, 404.96673583984375]"
2025-12-09 17:27:07.105311,wheel_handle_valve,0.35,"[502.20745849609375, 100.2326431274414, 781.1771850585938, 516.0022583007812]"
2025-12-09 17:29:01.591825,lever_handle_valve,0.48,"[159.0897216796875, 2.663012742996216, 685.3382568359375, 637.8049926757812]"
2025-12-09 17:29:02.014124,wheel_handle_valve,0.61,"[266.7154235839844, 22.694652557373047, 634.6344604492188, 487.8667907714844]"
2025-12-09 17:44:50.578366,lever_handle_valve,0.45,"[760.871826171875, 356.1893615722656, 998.1179809570312, 577.35888671875]"
2025-12-09 17:45:58.666652,fire_extinguisher,0.28,"[922.2740478515625, 479.8932189941406, 984.8659057617188, 532.5480346679688]"
2025-12-09 17:47:05.871925,fire_extinguisher,0.33,"[933.6402587890625, 484.053466796875, 980.6896362304688, 522.4132080078125]"
2025-12-09 17:47:17.843083,wheel_handle_valve,0.32,"[155.57701110839844, 269.45172119140625, 454.6294860839844, 579.551513671875]"
2025-12-09 17:47:18.237045,wheel_handle_valve,0.25,"[153.9799041748047, 281.9449462890625, 455.83599853515625, 574.8514404296875]"
2025-12-09 17:47:27.297106,wheel_handle_valve,0.32,"[143.9434356689453, 251.97265625, 441.43328857421875, 584.2083129882812]"
2025-12-09 17:47:34.384468,fire_extinguisher,0.26,"[932.3040161132812, 483.07110595703125, 982.6923828125, 523.9163208007812]"
2025-12-09 17:47:38.517038,lever_handle_valve,0.29,"[692.9370727539062, 146.77230834960938, 877.8151245117188, 589.3992309570312]"
2025-12-09 17:47:39.342025,lever_handle_valve,0.37,"[696.5172119140625, 2.007983446121216, 951.8336181640625, 593.5939331054688]"
2025-12-09 17:47:44.706621,wheel_handle_valve,0.31,"[187.8407440185547, 243.2652130126953, 438.3772888183594, 482.4228515625]"
2025-12-09 17:47:45.927080,wheel_handle_valve,0.37,"[185.8545379638672, 329.91400146484375, 425.02667236328125, 574.7626953125]"
2025-12-09 17:47:47.650496,lever_handle_valve,0.46,"[0.04376830905675888, 267.561767578125, 152.1509246826172, 703.9830932617188]"
2025-12-09 17:47:48.888982,wheel_handle_valve,0.35,"[141.73509216308594, 369.2358703613281, 373.576904296875, 587.0266723632812]"
2025-12-09 17:47:50.544666,wheel_handle_valve,0.33,"[141.3726043701172, 378.8143005371094, 397.4674987792969, 584.4194946289062]"
2025-12-09 17:47:54.330993,wheel_handle_valve,0.60,"[82.31671142578125, 246.5644989013672, 402.2286376953125, 425.6997985839844]"
2025-12-09 17:47:57.229503,wheel_handle_valve,0.33,"[387.85675048828125, 246.08773803710938, 660.7252807617188, 558.3480224609375]"
2025-12-09 17:48:03.012134,lever_handle_valve,0.49,"[612.0276489257812, 374.2116394042969, 663.9910888671875, 539.0203857421875]"
2025-12-09 17:48:03.012134,lever_handle_valve,0.38,"[611.5413818359375, 376.66326904296875, 664.1270751953125, 539.1484375]"
2025-12-09 17:48:10.013367,lever_handle_valve,0.46,"[610.13427734375, 376.93414306640625, 662.6021728515625, 550.5562133789062]"
2025-12-09 17:48:15.337849,wheel_handle_valve,0.36,"[460.0870056152344, 365.66754150390625, 659.7116088867188, 585.576171875]"
2025-12-09 17:48:15.750587,wheel_handle_valve,0.43,"[473.74041748046875, 256.9305114746094, 706.845703125, 563.1097412109375]"
2025-12-09 17:48:20.334794,wheel_handle_valve,0.42,"[468.06915283203125, 391.05999755859375, 665.158935546875, 607.7091674804688]"
2025-12-09 17:48:20.334794,wheel_handle_valve,0.37,"[465.205322265625, 393.1983337402344, 664.0330200195312, 611.8856201171875]"
2025-12-09 17:48:28.137791,wheel_handle_valve,0.51,"[452.0863342285156, 462.8603515625, 628.8626708984375, 646.9204711914062]"
2025-12-09 17:48:41.063037,wheel_handle_valve,0.56,"[714.5847778320312, 366.7233581542969, 811.8267822265625, 522.5712280273438]"
2025-12-09 17:48:43.130765,wheel_handle_valve,0.57,"[721.0726928710938, 371.4734191894531, 883.4138793945312, 536.0389404296875]"
2025-12-09 17:48:44.326168,wheel_handle_valve,0.32,"[764.1009521484375, 384.5137634277344, 884.3167724609375, 543.501953125]"
2025-12-09 17:48:49.775180,wheel_handle_valve,0.33,"[731.1469116210938, 401.28216552734375, 834.1312255859375, 534.7115478515625]"
2025-12-09 17:48:52.254192,wheel_handle_valve,0.32,"[728.8477172851562, 420.89837646484375, 830.7388916015625, 542.1788330078125]"
2025-12-09 17:48:53.083102,wheel_handle_valve,0.54,"[740.5350341796875, 412.370849609375, 836.5675659179688, 542.8734130859375]"
2025-12-09 17:48:53.533383,wheel_handle_valve,0.35,"[749.4820556640625, 410.75701904296875, 860.9767456054688, 537.354736328125]"
2025-12-09 17:49:33.903700,wheel_handle_valve,0.32,"[388.60919189453125, 387.1414489746094, 539.05322265625, 542.3587646484375]"
2025-12-09 17:50:26.348295,wheel_handle_valve,0.32,"[419.4049377441406, 577.3983154296875, 588.1253051757812, 685.552734375]"
2025-12-09 17:50:26.742052,wheel_handle_valve,0.35,"[412.4632873535156, 571.4014892578125, 587.215087890625, 686.1434326171875]"
2025-12-09 17:50:28.309131,wheel_handle_valve,0.59,"[434.03204345703125, 573.8908081054688, 588.8501586914062, 684.1751708984375]"
2025-12-09 17:50:28.694564,wheel_handle_valve,0.46,"[433.64471435546875, 572.156005859375, 590.0245971679688, 680.1500854492188]"
